Month,New Users,Active Users,Revenue,Marketing Spend,CAC,ROI,Retention Rate,Churn Rate,LTV
Jan,600,495," ? 85,000.00 "," ? 16,000.00 ", ? 26.67 ,431.25%,0.83,0.18, ? 981.24 
Feb,750,620," ? 102,000.00 "," ? 19,000.00 ", ? 25.33 ,436.84%,0.83,0.17, ? 949.13 
Mar,830,695," ? 113,000.00 "," ? 20,000.00 ", ? 24.10 ,465.00%,0.84,0.16, ? 999.63 
Apr,920,780," ? 126,000.00 "," ? 21,000.00 ", ? 22.83 ,500.00%,0.85,0.15," ? 1,061.54 "
May,990,845," ? 137,000.00 "," ? 21,900.00 ", ? 22.12 ,525.57%,0.85,0.15," ? 1,106.96 "
Jun,1050,890," ? 147,000.00 "," ? 22,900.00 ", ? 21.81 ,541.92%,0.85,0.15," ? 1,083.92 "
Jul,1100,935," ? 157,000.00 "," ? 23,900.00 ", ? 21.73 ,556.90%,0.85,0.15," ? 1,119.43 "
Aug,1160,975," ? 165,000.00 "," ? 24,800.00 ", ? 21.38 ,565.32%,0.84,0.16," ? 1,061.12 "
Sep,1200,1005," ? 172,000.00 "," ? 25,400.00 ", ? 21.17 ,577.17%,0.84,0.16," ? 1,053.20 "
Oct,1240,1045," ? 179,000.00 "," ? 25,900.00 ", ? 20.89 ,591.12%,0.84,0.16," ? 1,089.24 "
Nov,1270,1075," ? 184,000.00 "," ? 26,200.00 ", ? 20.63 ,602.29%,0.85,0.15," ? 1,114.75 "
Dec,1310,1115," ? 191,000.00 "," ? 26,800.00 ", ? 20.46 ,612.69%,0.85,0.15," ? 1,150.79 "
,,,,,,,,,
,,,,,,,,,
