,,,,,,,,8100000,,,,
,,,,,,,,,,,,
Month,Channel,New Users,Active Users,Revenue,Marketing Spend,CAC,ROI,Retention Rate,Churn Rate,LTV,ARPU,MRR
Jan,Google Ads,320,250," ? 45,000.00 "," ? 10,000.00 ", ? 31.25 ,350.00%,0.78,0.22, ? 822.86 , ? 180.00 ," ? 8,100,000.00 "
Jan,Instagram,180,150," ? 22,000.00 "," ? 4,000.00 ", ? 22.22 ,450.00%,0.83,0.17, ? 880.00 , ? 146.67 ," ? 3,226,666.67 "
Jan,Referrals,100,95," ? 18,000.00 "," ? 2,000.00 ", ? 20.00 ,800.00%,0.95,0.05," ? 3,789.47 ", ? 189.47 ," ? 3,410,526.32 "
Feb,Google Ads,400,310," ? 56,000.00 "," ? 12,000.00 ", ? 30.00 ,366.67%,0.78,0.23, ? 802.87 , ? 180.65 ," ? 10,116,129.03 "
Feb,Instagram,220,190," ? 26,000.00 "," ? 4,500.00 ", ? 20.45 ,477.78%,0.86,0.14," ? 1,003.51 ", ? 136.84 ," ? 3,557,894.74 "
Feb,Referrals,130,120," ? 20,000.00 "," ? 2,500.00 ", ? 19.23 ,700.00%,0.92,0.08," ? 2,166.67 ", ? 166.67 ," ? 3,333,333.33 "
Mar,Google Ads,430,340," ? 61,000.00 "," ? 12,500.00 ", ? 29.07 ,388.00%,0.79,0.21, ? 857.19 , ? 179.41 ," ? 10,944,117.65 "
Mar,Instagram,250,215," ? 29,000.00 "," ? 4,800.00 ", ? 19.20 ,504.17%,0.86,0.14, ? 963.46 , ? 134.88 ," ? 3,911,627.91 "
Mar,Referrals,150,140," ? 23,000.00 "," ? 2,700.00 ", ? 18.00 ,751.85%,0.93,0.07," ? 2,464.29 ", ? 164.29 ," ? 3,778,571.43 "
Apr,Google Ads,460,370," ? 67,000.00 "," ? 13,000.00 ", ? 28.26 ,415.38%,0.80,0.20, ? 925.53 , ? 181.08 ," ? 12,132,432.43 "
Apr,Instagram,280,245," ? 33,000.00 "," ? 5,000.00 ", ? 17.86 ,560.00%,0.88,0.13," ? 1,077.55 ", ? 134.69 ," ? 4,444,897.96 "
Apr,Referrals,180,165," ? 26,000.00 "," ? 3,000.00 ", ? 16.67 ,766.67%,0.92,0.08," ? 1,890.91 ", ? 157.58 ," ? 4,096,969.70 "
May,Google Ads,490,395," ? 72,000.00 "," ? 13,500.00 ", ? 27.55 ,433.33%,0.81,0.19, ? 940.17 , ? 182.28 ," ? 13,124,050.63 "
May,Instagram,300,265," ? 36,000.00 "," ? 5,200.00 ", ? 17.33 ,592.31%,0.88,0.12," ? 1,164.42 ", ? 135.85 ," ? 4,890,566.04 "
May,Referrals,200,185," ? 29,000.00 "," ? 3,200.00 ", ? 16.00 ,806.25%,0.93,0.08," ? 2,090.09 ", ? 156.76 ," ? 4,545,945.95 "
Jun,Google Ads,520,420," ? 78,000.00 "," ? 14,000.00 ", ? 26.92 ,457.14%,0.81,0.19, ? 965.71 , ? 185.71 ," ? 14,485,714.29 "
Jun,Instagram,320,280," ? 39,000.00 "," ? 5,500.00 ", ? 17.19 ,609.09%,0.88,0.13," ? 1,114.29 ", ? 139.29 ," ? 5,432,142.86 "
Jun,Referrals,210,190," ? 30,000.00 "," ? 3,400.00 ", ? 16.19 ,782.35%,0.90,0.10," ? 1,657.89 ", ? 157.89 ," ? 4,736,842.11 "
Jul,Google Ads,540,440," ? 83,000.00 "," ? 14,500.00 ", ? 26.85 ,472.41%,0.81,0.19," ? 1,018.64 ", ? 188.64 ," ? 15,656,818.18 "
Jul,Instagram,340,295," ? 42,000.00 "," ? 5,800.00 ", ? 17.06 ,624.14%,0.87,0.13," ? 1,075.71 ", ? 142.37 ," ? 5,979,661.02 "
Jul,Referrals,220,200," ? 32,000.00 "," ? 3,600.00 ", ? 16.36 ,788.89%,0.91,0.09," ? 1,760.00 ", ? 160.00 ," ? 5,120,000.00 "
Aug,Google Ads,560,455," ? 87,000.00 "," ? 15,000.00 ", ? 26.79 ,480.00%,0.81,0.19," ? 1,019.78 ", ? 191.21 ," ? 16,635,164.84 "
Aug,Instagram,360,305," ? 44,000.00 "," ? 6,000.00 ", ? 16.67 ,633.33%,0.85,0.15, ? 944.26 , ? 144.26 ," ? 6,347,540.98 "
Aug,Referrals,240,215," ? 34,000.00 "," ? 3,800.00 ", ? 15.83 ,794.74%,0.90,0.10," ? 1,518.14 ", ? 158.14 ," ? 5,376,744.19 "
Sep,Google Ads,580,470," ? 90,000.00 "," ? 15,200.00 ", ? 26.21 ,492.11%,0.81,0.19," ? 1,009.67 ", ? 191.49 ," ? 17,234,042.55 "
Sep,Instagram,370,310," ? 46,000.00 "," ? 6,200.00 ", ? 16.76 ,641.94%,0.84,0.16, ? 915.05 , ? 148.39 ," ? 6,825,806.45 "
Sep,Referrals,250,225," ? 36,000.00 "," ? 4,000.00 ", ? 16.00 ,800.00%,0.90,0.10," ? 1,600.00 ", ? 160.00 ," ? 5,760,000.00 "
Oct,Google Ads,600,490," ? 94,000.00 "," ? 15,500.00 ", ? 25.83 ,506.45%,0.82,0.18," ? 1,046.38 ", ? 191.84 ," ? 18,032,653.06 "
Oct,Instagram,380,320," ? 48,000.00 "," ? 6,300.00 ", ? 16.58 ,661.90%,0.84,0.16, ? 950.00 , ? 150.00 ," ? 7,200,000.00 "
Oct,Referrals,260,235," ? 37,000.00 "," ? 4,100.00 ", ? 15.77 ,802.44%,0.90,0.10," ? 1,637.45 ", ? 157.45 ," ? 5,825,531.91 "
Nov,Google Ads,610,500," ? 96,000.00 "," ? 15,600.00 ", ? 25.57 ,515.38%,0.82,0.18," ? 1,064.73 ", ? 192.00 ," ? 18,432,000.00 "
Nov,Instagram,390,330," ? 50,000.00 "," ? 6,400.00 ", ? 16.41 ,681.25%,0.85,0.15, ? 984.85 , ? 151.52 ," ? 7,575,757.58 "
Nov,Referrals,270,245," ? 38,000.00 "," ? 4,200.00 ", ? 15.56 ,804.76%,0.91,0.09," ? 1,675.10 ", ? 155.10 ," ? 5,893,877.55 "
Dec,Google Ads,630,520," ? 99,000.00 "," ? 16,000.00 ", ? 25.40 ,518.75%,0.83,0.17," ? 1,090.38 ", ? 190.38 ," ? 18,848,076.92 "
Dec,Instagram,400,340," ? 52,000.00 "," ? 6,500.00 ", ? 16.25 ,700.00%,0.85,0.15," ? 1,019.61 ", ? 152.94 ," ? 7,952,941.18 "
Dec,Referrals,280,255," ? 40,000.00 "," ? 4,300.00 ", ? 15.36 ,830.23%,0.91,0.09," ? 1,756.86 ", ? 156.86 ," ? 6,274,509.80 "
,,,,,,,,,,,,
,,,,,,,,,,,,
